epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,18681.4,0.91656,0.33525,1.03264,0.9997,1,0.99491,0.78531,0.90011,0.25916,1.01397,0.00467875,0.00467875,0.00467875
45,19100.2,0.91868,0.33622,1.05018,0.99972,1,0.99491,0.78479,0.89979,0.25896,1.01492,0.004555,0.004555,0.004555
46,19522.9,0.91572,0.3341,1.04024,0.99972,1,0.99491,0.78428,0.89974,0.25857,1.01516,0.00443125,0.00443125,0.00443125
47,19944.3,0.91387,0.33279,1.02456,0.99973,1,0.99492,0.78507,0.89967,0.25844,1.01446,0.0043075,0.0043075,0.0043075
48,20367.6,0.91603,0.33159,1.02051,0.99973,1,0.99492,0.78536,0.89945,0.25836,1.01344,0.00418375,0.00418375,0.00418375
49,20790.9,0.91651,0.33096,1.03813,0.99973,1,0.99492,0.78547,0.89953,0.25751,1.01321,0.00406,0.00406,0.00406
50,21212.8,0.91058,0.32885,1.03566,0.99973,1,0.99492,0.78513,0.89944,0.2572,1.0131,0.00393625,0.00393625,0.00393625
51,21628.5,0.91037,0.32772,1.03352,0.99973,1,0.99492,0.78519,0.89933,0.25696,1.01294,0.0038125,0.0038125,0.0038125
52,22051.4,0.91099,0.32713,1.02714,0.99973,1,0.99492,0.78485,0.89907,0.25657,1.0124,0.00368875,0.00368875,0.00368875
53,22474.6,0.90722,0.3252,1.03679,0.99973,1,0.99491,0.7848,0.89899,0.25606,1.01249,0.003565,0.003565,0.003565
54,22897.4,0.90856,0.32418,1.02572,0.99973,1,0.99492,0.78482,0.89877,0.25611,1.01169,0.00344125,0.00344125,0.00344125
55,23320.3,0.90697,0.32183,1.03459,0.99973,1,0.99492,0.78489,0.89868,0.25593,1.01164,0.0033175,0.0033175,0.0033175
56,23736.3,0.90611,0.32123,1.02705,0.99973,1,0.99491,0.78499,0.89857,0.25555,1.0114,0.00319375,0.00319375,0.00319375
57,24159,0.905,0.31981,1.03184,0.99974,1,0.99491,0.78479,0.89852,0.25497,1.01139,0.00307,0.00307,0.00307
58,24580.9,0.90362,0.31819,1.02308,0.99974,1,0.99491,0.78597,0.89816,0.25493,1.01111,0.00294625,0.00294625,0.00294625
59,25002.6,0.90139,0.31737,1.02846,0.99974,1,0.99491,0.78476,0.89801,0.25479,1.01114,0.0028225,0.0028225,0.0028225
60,25425.6,0.90373,0.31721,1.02842,0.99974,1,0.99492,0.78541,0.89776,0.25454,1.01076,0.00269875,0.00269875,0.00269875
61,25850.1,0.89865,0.3158,1.00902,0.99974,1,0.99492,0.78573,0.89775,0.25392,1.00996,0.002575,0.002575,0.002575
62,26273.4,0.90004,0.31539,1.00573,0.99974,1,0.99492,0.78478,0.89762,0.25364,1.00872,0.00245125,0.00245125,0.00245125
63,26696.3,0.89749,0.31248,1.02586,0.99974,1,0.99492,0.78529,0.89742,0.25341,1.00813,0.0023275,0.0023275,0.0023275
64,27118.7,0.89724,0.31222,1.02381,0.99974,1,0.99492,0.78516,0.89732,0.25302,1.00775,0.00220375,0.00220375,0.00220375
65,27542.2,0.8942,0.31013,1.00758,0.99974,1,0.99492,0.78569,0.89709,0.2522,1.00672,0.00208,0.00208,0.00208
66,27965.7,0.89389,0.31084,1.00214,0.99974,1,0.99493,0.78531,0.89698,0.25221,1.00511,0.00195625,0.00195625,0.00195625
67,28387.3,0.89236,0.30948,0.99848,0.99974,1,0.99494,0.78547,0.89671,0.25215,1.00321,0.0018325,0.0018325,0.0018325
68,28811.6,0.89061,0.30568,1.00104,0.99974,1,0.99494,0.78626,0.89652,0.25183,1.00175,0.00170875,0.00170875,0.00170875
69,29229,0.88689,0.30378,1.00397,0.99974,1,0.99494,0.78533,0.8963,0.25178,1.00079,0.001585,0.001585,0.001585
70,29651.4,0.88894,0.30275,1.02064,0.99974,1,0.99494,0.78639,0.89622,0.25132,1.00076,0.00146125,0.00146125,0.00146125
71,30152.8,0.88291,0.27871,1.0172,0.99974,1,0.99494,0.7864,0.89626,0.25113,1.00066,0.0013375,0.0013375,0.0013375
72,30572,0.87953,0.2753,1.01647,0.99974,1,0.99494,0.78581,0.89625,0.25124,1.0004,0.00121375,0.00121375,0.00121375
73,30994.1,0.87722,0.27306,0.99566,0.99974,1,0.99494,0.78675,0.89599,0.2508,0.99924,0.00109,0.00109,0.00109
74,31434.2,0.8761,0.27215,1.00246,0.99974,1,0.99493,0.78657,0.89588,0.2507,0.9986,0.00096625,0.00096625,0.00096625
75,31869.3,0.8743,0.26968,1.00531,0.99974,1,0.99489,0.78702,0.89559,0.25069,0.99789,0.0008425,0.0008425,0.0008425
76,32297.7,0.87097,0.26579,1.00982,0.99974,1,0.99493,0.78686,0.8953,0.25042,0.99767,0.00071875,0.00071875,0.00071875
77,32720.3,0.8683,0.26392,1.01144,0.99974,1,0.99494,0.78713,0.89536,0.25017,0.99765,0.000595,0.000595,0.000595
78,33145.9,0.86642,0.26123,1.01612,0.99974,1,0.99494,0.78692,0.89505,0.25015,0.99786,0.00047125,0.00047125,0.00047125
79,33569.8,0.86386,0.25911,1.01592,0.99974,1,0.99494,0.78768,0.8948,0.24995,0.9982,0.0003475,0.0003475,0.0003475
80,34016,0.86259,0.25673,1.01262,0.99974,1,0.99494,0.78701,0.89476,0.24967,0.99875,0.00022375,0.00022375,0.00022375
